"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","MAP_LABEL","DESC"
"Aquilegia formosa","Fisch. ex DC.",48244,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","",NA,"Ranunculaceae","Aquilegia",NA,"Aquilegia formosa","","species","UBC","UBCVascular","V35984","","EC436E4D-FAD6-9944-BCAA-AA97DFD4374F","John Davidson","s.n.",NA,"1912-08-15",1912,8,15,"PRESERVED_SPECIMEN","Garibaldi, Black Tusk Valley [Black Tusk Lake]",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John Davidson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Arctostaphylos uva-ursi","(L.) Spreng.",68049,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Arctostaphylos",NA,"Arctostaphylos uva-ursi","","species","UBC","UBCVascular","V15837","","A99A8D0C-F406-794F-8F8C-B5E9CDAF2433","John Davidson","s.n.",NA,"1912-08-11",1912,8,11,"PRESERVED_SPECIMEN","Garibaldi, Panorama Ridge",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John Davidson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Arnica gracilis","Rydb.",158686,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Arnica",NA,"Arnica gracilis","","species","UBC","UBCVascular","V97820","","E23AE654-398F-9447-B8BC-727D0B261183","E.B. Peterson","s.n.",NA,"1961-08-19",1961,8,19,"PRESERVED_SPECIMEN","little diamond head, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"S.J. Wolf 1980 1980",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Arnica lanceolata ssp. prima","Nutt.",79623,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Arnica",NA,"Arnica lanceolata","prima","subspecies","UBC","UBCVascular","V55441","","EB20CDD3-D8EB-494A-8E7E-D0319C1C7981","Vernon C. Brink","56-8-177",NA,"1956-08-10",1956,8,10,"PRESERVED_SPECIMEN","sentinel glacier, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5? (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Arnica latifolia","Bong.",75573,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Arnica",NA,"Arnica latifolia","latifolia","species","UBC","UBCVascular","V97818","","FAD9BD7E-7939-D042-87DA-E822A4CBEE17","E.B. Peterson","s.n.",NA,"1960-08-03",1960,8,3,"PRESERVED_SPECIMEN","near diamond head chalet, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"E.B. Peterson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Arnica rydbergii","Greene",153042,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Arnica",NA,"Arnica rydbergii","","species","iNaturalist","Observations","167874582","","https://www.inaturalist.org/observations/167874582","kaiden","",NA,"2023-06-15",2023,6,15,"Human Observation","",NA,NA,"British Columbia","Canada","CA",41,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Artemisia norvegica ssp. saxatilis","Fr.",79631,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Artemisia",NA,"Artemisia norvegica","saxatilis","subspecies","UBC","UBCVascular","V9352","","F2873B83-48B7-BF4D-B8D0-5CB94A9AA50A","John Davidson","s.n.",NA,"1917-08-07",1917,8,7,"PRESERVED_SPECIMEN","Coast area, Garibaldi, Panorama Ridge",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John Davidson",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Askellia pygmaea","(Richardson) W.A. Weber",76477,"Plantae","Tracheophyta","Magnoliopsida","Asterales","",NA,"Asteraceae","Askellia",NA,"Askellia pygmaea","","species","UBC","UBCVascular","V158274","","0E4AF08C-33AE-354D-867F-7036E4047EE9","V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina","s.n.",NA,"1967-07-21",1967,7,21,"PRESERVED_SPECIMEN","Sentinel glacier foreland, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S4S5 (2015)",NA,"V. Bednar, Satoru Kojima",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Athyrium distentifolium ssp. americanum","Tausch ex Opiz",80451,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,"Athyriaceae","Athyrium",NA,"Athyrium distentifolium","americanum","subspecies","iNaturalist","Observations","14759544","","https://www.inaturalist.org/observations/14759544","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",1052,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Samantha Leigh",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","UBC","UBCVascular","V161013","","7D5D6537-9501-8344-86AD-5E1180E665D9","V. B. Fraser, Vladimir J. Krajina, V. Bednar, Satoru Kojima","s.n.",NA,"1967-08-21",1967,8,21,"PRESERVED_SPECIMEN","Sentinel glacier foreland, Garibaldi Park, glacial moraines",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Christopher J. Sears 2007",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
